ativo,target,janela,tecnica,data,target_pred,resultado_real
PETR4-50,1.01,25,RNA,2005-03-07,1,-0.06862745098039214
PETR4-50,1.01,25,Random Forest,2005-03-07,1,-0.06862745098039214
PETR4-50,1.01,25,SVC,2005-03-07,1,-0.06862745098039214
PETR4-50,1.01,25,RNA,2005-03-08,1,0.01980198019801982
PETR4-50,1.01,25,Random Forest,2005-03-08,1,0.01980198019801982
PETR4-50,1.01,25,SVC,2005-03-08,1,0.01980198019801982
PETR4-50,1.01,25,RNA,2005-03-09,1,-0.03728813559322042
PETR4-50,1.01,25,Random Forest,2005-03-09,1,-0.03728813559322042
PETR4-50,1.01,25,SVC,2005-03-09,1,-0.03728813559322042
PETR4-50,1.01,25,RNA,2005-03-11,1,-0.01736111111111105
PETR4-50,1.01,25,Random Forest,2005-03-11,1,-0.01736111111111105
PETR4-50,1.01,25,SVC,2005-03-11,1,-0.01736111111111105
PETR4-50,1.01,25,RNA,2005-03-14,1,-0.017421602787456525
PETR4-50,1.01,25,Random Forest,2005-03-14,1,-0.017421602787456525
PETR4-50,1.01,25,SVC,2005-03-14,1,-0.017421602787456525
PETR4-50,1.01,25,RNA,2005-03-15,1,0.04744525547445244
PETR4-50,1.01,25,Random Forest,2005-03-15,1,0.04744525547445244
PETR4-50,1.01,25,SVC,2005-03-15,1,0.04744525547445244
PETR4-50,1.01,25,RNA,2005-03-16,1,-0.055749128919860724
PETR4-50,1.01,25,Random Forest,2005-03-16,0,-0.055749128919860724
PETR4-50,1.01,25,SVC,2005-03-16,1,-0.055749128919860724
PETR4-50,1.015,15,RNA,2005-02-21,1,0.08602150537634401
PETR4-50,1.015,15,Random Forest,2005-02-21,1,0.08602150537634401
PETR4-50,1.015,15,SVC,2005-02-21,1,0.08602150537634401
PETR4-50,1.015,15,RNA,2005-02-22,0,0.07067137809187263
PETR4-50,1.015,15,Random Forest,2005-02-22,1,0.07067137809187263
PETR4-50,1.015,15,SVC,2005-02-22,1,0.07067137809187263
PETR4-50,1.015,15,RNA,2005-02-23,0,0.04482758620689653
PETR4-50,1.015,15,Random Forest,2005-02-23,0,0.04482758620689653
PETR4-50,1.015,15,SVC,2005-02-23,1,0.04482758620689653
PETR4-50,1.015,15,RNA,2005-02-24,1,0.027118644067796405
PETR4-50,1.015,15,Random Forest,2005-02-24,0,0.027118644067796405
PETR4-50,1.015,15,SVC,2005-02-24,1,0.027118644067796405
PETR4-50,1.015,15,RNA,2005-02-25,0,0.013377926421404451
PETR4-50,1.015,15,Random Forest,2005-02-25,0,0.013377926421404451
PETR4-50,1.015,15,SVC,2005-02-25,0,0.013377926421404451
PETR4-50,1.015,15,RNA,2005-02-28,0,0.06164383561643838
PETR4-50,1.015,15,Random Forest,2005-02-28,0,0.06164383561643838
PETR4-50,1.015,15,SVC,2005-02-28,0,0.06164383561643838
PETR4-50,1.015,15,RNA,2005-03-01,0,0.09473684210526323
PETR4-50,1.015,15,Random Forest,2005-03-01,0,0.09473684210526323
PETR4-50,1.015,15,SVC,2005-03-01,0,0.09473684210526323
PETR4-50,1.015,15,RNA,2005-03-02,1,0.050505050505050386
PETR4-50,1.015,15,Random Forest,2005-03-02,1,0.050505050505050386
PETR4-50,1.015,15,SVC,2005-03-02,0,0.050505050505050386
PETR4-50,1.015,15,RNA,2005-03-03,0,0.022950819672131306
PETR4-50,1.015,15,Random Forest,2005-03-03,0,0.022950819672131306
PETR4-50,1.015,15,SVC,2005-03-03,0,0.022950819672131306
PETR4-50,1.015,15,RNA,2005-03-04,0,-0.08012820512820518
PETR4-50,1.015,15,Random Forest,2005-03-04,0,-0.08012820512820518
PETR4-50,1.015,15,SVC,2005-03-04,0,-0.08012820512820518
PETR4-50,1.015,15,RNA,2005-03-07,1,-0.06862745098039214
PETR4-50,1.015,15,Random Forest,2005-03-07,0,-0.06862745098039214
PETR4-50,1.015,15,SVC,2005-03-07,0,-0.06862745098039214
PETR4-50,1.015,15,RNA,2005-03-08,1,0.01980198019801982
PETR4-50,1.015,15,Random Forest,2005-03-08,0,0.01980198019801982
PETR4-50,1.015,15,SVC,2005-03-08,0,0.01980198019801982
PETR4-50,1.015,15,RNA,2005-03-09,1,-0.03728813559322042
PETR4-50,1.015,15,Random Forest,2005-03-09,0,-0.03728813559322042
PETR4-50,1.015,15,SVC,2005-03-09,0,-0.03728813559322042
PETR4-50,1.015,15,RNA,2005-03-11,0,-0.01736111111111105
PETR4-50,1.015,15,Random Forest,2005-03-11,0,-0.01736111111111105
PETR4-50,1.015,15,SVC,2005-03-11,0,-0.01736111111111105
PETR4-50,1.015,15,RNA,2005-03-14,1,-0.017421602787456525
PETR4-50,1.015,15,Random Forest,2005-03-14,1,-0.017421602787456525
PETR4-50,1.015,15,SVC,2005-03-14,0,-0.017421602787456525
PETR4-50,1.015,15,RNA,2005-03-15,1,0.04744525547445244
PETR4-50,1.015,15,Random Forest,2005-03-15,0,0.04744525547445244
PETR4-50,1.015,15,SVC,2005-03-15,0,0.04744525547445244
PETR4-50,1.015,15,RNA,2005-03-16,0,-0.055749128919860724
PETR4-50,1.015,15,Random Forest,2005-03-16,0,-0.055749128919860724
PETR4-50,1.015,15,SVC,2005-03-16,0,-0.055749128919860724
PETR4-50,1.015,20,RNA,2005-02-28,0,0.06164383561643838
PETR4-50,1.015,20,Random Forest,2005-02-28,0,0.06164383561643838
PETR4-50,1.015,20,SVC,2005-02-28,0,0.06164383561643838
PETR4-50,1.015,20,RNA,2005-03-01,1,0.09473684210526323
PETR4-50,1.015,20,Random Forest,2005-03-01,0,0.09473684210526323
PETR4-50,1.015,20,SVC,2005-03-01,0,0.09473684210526323
PETR4-50,1.015,20,RNA,2005-03-02,0,0.050505050505050386
PETR4-50,1.015,20,Random Forest,2005-03-02,1,0.050505050505050386
PETR4-50,1.015,20,SVC,2005-03-02,0,0.050505050505050386
PETR4-50,1.015,20,RNA,2005-03-03,0,0.022950819672131306
PETR4-50,1.015,20,Random Forest,2005-03-03,0,0.022950819672131306
PETR4-50,1.015,20,SVC,2005-03-03,0,0.022950819672131306
PETR4-50,1.015,20,RNA,2005-03-04,0,-0.08012820512820518
PETR4-50,1.015,20,Random Forest,2005-03-04,0,-0.08012820512820518
PETR4-50,1.015,20,SVC,2005-03-04,0,-0.08012820512820518
PETR4-50,1.015,20,RNA,2005-03-07,1,-0.06862745098039214
PETR4-50,1.015,20,Random Forest,2005-03-07,0,-0.06862745098039214
PETR4-50,1.015,20,SVC,2005-03-07,1,-0.06862745098039214
PETR4-50,1.015,20,RNA,2005-03-08,1,0.01980198019801982
PETR4-50,1.015,20,Random Forest,2005-03-08,1,0.01980198019801982
PETR4-50,1.015,20,SVC,2005-03-08,0,0.01980198019801982
PETR4-50,1.015,20,RNA,2005-03-09,1,-0.03728813559322042
PETR4-50,1.015,20,Random Forest,2005-03-09,0,-0.03728813559322042
PETR4-50,1.015,20,SVC,2005-03-09,1,-0.03728813559322042
PETR4-50,1.015,20,RNA,2005-03-11,1,-0.01736111111111105
PETR4-50,1.015,20,Random Forest,2005-03-11,0,-0.01736111111111105
PETR4-50,1.015,20,SVC,2005-03-11,0,-0.01736111111111105
PETR4-50,1.015,20,RNA,2005-03-14,1,-0.017421602787456525
PETR4-50,1.015,20,Random Forest,2005-03-14,1,-0.017421602787456525
PETR4-50,1.015,20,SVC,2005-03-14,0,-0.017421602787456525
PETR4-50,1.015,20,RNA,2005-03-15,1,0.04744525547445244
PETR4-50,1.015,20,Random Forest,2005-03-15,1,0.04744525547445244
PETR4-50,1.015,20,SVC,2005-03-15,0,0.04744525547445244
PETR4-50,1.015,20,RNA,2005-03-16,0,-0.055749128919860724
PETR4-50,1.015,20,Random Forest,2005-03-16,0,-0.055749128919860724
PETR4-50,1.015,20,SVC,2005-03-16,0,-0.055749128919860724
PETR4-50,1.015,25,RNA,2005-03-07,1,-0.06862745098039214
PETR4-50,1.015,25,Random Forest,2005-03-07,1,-0.06862745098039214
PETR4-50,1.015,25,SVC,2005-03-07,1,-0.06862745098039214
PETR4-50,1.015,25,RNA,2005-03-08,1,0.01980198019801982
PETR4-50,1.015,25,Random Forest,2005-03-08,1,0.01980198019801982
PETR4-50,1.015,25,SVC,2005-03-08,1,0.01980198019801982
PETR4-50,1.015,25,RNA,2005-03-09,1,-0.03728813559322042
PETR4-50,1.015,25,Random Forest,2005-03-09,0,-0.03728813559322042
PETR4-50,1.015,25,SVC,2005-03-09,1,-0.03728813559322042
PETR4-50,1.015,25,RNA,2005-03-11,0,-0.01736111111111105
PETR4-50,1.015,25,Random Forest,2005-03-11,0,-0.01736111111111105
PETR4-50,1.015,25,SVC,2005-03-11,1,-0.01736111111111105
PETR4-50,1.015,25,RNA,2005-03-14,1,-0.017421602787456525
PETR4-50,1.015,25,Random Forest,2005-03-14,1,-0.017421602787456525
PETR4-50,1.015,25,SVC,2005-03-14,0,-0.017421602787456525
PETR4-50,1.015,25,RNA,2005-03-15,1,0.04744525547445244
PETR4-50,1.015,25,Random Forest,2005-03-15,1,0.04744525547445244
PETR4-50,1.015,25,SVC,2005-03-15,1,0.04744525547445244
PETR4-50,1.015,25,RNA,2005-03-16,0,-0.055749128919860724
PETR4-50,1.015,25,Random Forest,2005-03-16,0,-0.055749128919860724
PETR4-50,1.015,25,SVC,2005-03-16,0,-0.055749128919860724
PETR4-50,1.02,15,RNA,2005-02-21,1,0.08602150537634401
PETR4-50,1.02,15,Random Forest,2005-02-21,0,0.08602150537634401
PETR4-50,1.02,15,SVC,2005-02-21,1,0.08602150537634401
PETR4-50,1.02,15,RNA,2005-02-22,0,0.07067137809187263
PETR4-50,1.02,15,Random Forest,2005-02-22,0,0.07067137809187263
PETR4-50,1.02,15,SVC,2005-02-22,0,0.07067137809187263
PETR4-50,1.02,15,RNA,2005-02-23,0,0.04482758620689653
PETR4-50,1.02,15,Random Forest,2005-02-23,0,0.04482758620689653
PETR4-50,1.02,15,SVC,2005-02-23,0,0.04482758620689653
PETR4-50,1.02,15,RNA,2005-02-24,0,0.027118644067796405
PETR4-50,1.02,15,Random Forest,2005-02-24,0,0.027118644067796405
PETR4-50,1.02,15,SVC,2005-02-24,1,0.027118644067796405
PETR4-50,1.02,15,RNA,2005-02-25,0,0.013377926421404451
PETR4-50,1.02,15,Random Forest,2005-02-25,0,0.013377926421404451
PETR4-50,1.02,15,SVC,2005-02-25,0,0.013377926421404451
PETR4-50,1.02,15,RNA,2005-02-28,0,0.06164383561643838
PETR4-50,1.02,15,Random Forest,2005-02-28,0,0.06164383561643838
PETR4-50,1.02,15,SVC,2005-02-28,0,0.06164383561643838
PETR4-50,1.02,15,RNA,2005-03-01,0,0.09473684210526323
PETR4-50,1.02,15,Random Forest,2005-03-01,0,0.09473684210526323
PETR4-50,1.02,15,SVC,2005-03-01,0,0.09473684210526323
PETR4-50,1.02,15,RNA,2005-03-02,1,0.050505050505050386
PETR4-50,1.02,15,Random Forest,2005-03-02,1,0.050505050505050386
PETR4-50,1.02,15,SVC,2005-03-02,0,0.050505050505050386
PETR4-50,1.02,15,RNA,2005-03-03,0,0.022950819672131306
PETR4-50,1.02,15,Random Forest,2005-03-03,0,0.022950819672131306
PETR4-50,1.02,15,SVC,2005-03-03,0,0.022950819672131306
PETR4-50,1.02,15,RNA,2005-03-04,1,-0.08012820512820518
PETR4-50,1.02,15,Random Forest,2005-03-04,0,-0.08012820512820518
PETR4-50,1.02,15,SVC,2005-03-04,0,-0.08012820512820518
PETR4-50,1.02,15,RNA,2005-03-07,0,-0.06862745098039214
PETR4-50,1.02,15,Random Forest,2005-03-07,0,-0.06862745098039214
PETR4-50,1.02,15,SVC,2005-03-07,0,-0.06862745098039214
PETR4-50,1.02,15,RNA,2005-03-08,1,-0.08250825082508251
PETR4-50,1.02,15,Random Forest,2005-03-08,0,-0.08250825082508251
PETR4-50,1.02,15,SVC,2005-03-08,0,-0.08250825082508251
PETR4-50,1.02,15,RNA,2005-03-09,1,-0.03728813559322042
PETR4-50,1.02,15,Random Forest,2005-03-09,0,-0.03728813559322042
PETR4-50,1.02,15,SVC,2005-03-09,0,-0.03728813559322042
PETR4-50,1.02,15,RNA,2005-03-11,1,-0.01736111111111105
PETR4-50,1.02,15,Random Forest,2005-03-11,0,-0.01736111111111105
PETR4-50,1.02,15,SVC,2005-03-11,0,-0.01736111111111105
PETR4-50,1.02,15,RNA,2005-03-14,0,-0.017421602787456525
PETR4-50,1.02,15,Random Forest,2005-03-14,1,-0.017421602787456525
PETR4-50,1.02,15,SVC,2005-03-14,0,-0.017421602787456525
PETR4-50,1.02,15,RNA,2005-03-15,1,0.04744525547445244
PETR4-50,1.02,15,Random Forest,2005-03-15,0,0.04744525547445244
PETR4-50,1.02,15,SVC,2005-03-15,0,0.04744525547445244
PETR4-50,1.02,15,RNA,2005-03-16,0,-0.055749128919860724
PETR4-50,1.02,15,Random Forest,2005-03-16,0,-0.055749128919860724
PETR4-50,1.02,15,SVC,2005-03-16,0,-0.055749128919860724
PETR4-50,1.02,20,RNA,2005-02-28,0,0.06164383561643838
PETR4-50,1.02,20,Random Forest,2005-02-28,0,0.06164383561643838
PETR4-50,1.02,20,SVC,2005-02-28,0,0.06164383561643838
PETR4-50,1.02,20,RNA,2005-03-01,1,0.09473684210526323
PETR4-50,1.02,20,Random Forest,2005-03-01,0,0.09473684210526323
PETR4-50,1.02,20,SVC,2005-03-01,0,0.09473684210526323
PETR4-50,1.02,20,RNA,2005-03-02,1,0.050505050505050386
PETR4-50,1.02,20,Random Forest,2005-03-02,1,0.050505050505050386
PETR4-50,1.02,20,SVC,2005-03-02,1,0.050505050505050386
PETR4-50,1.02,20,RNA,2005-03-03,0,0.022950819672131306
PETR4-50,1.02,20,Random Forest,2005-03-03,0,0.022950819672131306
PETR4-50,1.02,20,SVC,2005-03-03,0,0.022950819672131306
PETR4-50,1.02,20,RNA,2005-03-04,0,-0.08012820512820518
PETR4-50,1.02,20,Random Forest,2005-03-04,0,-0.08012820512820518
PETR4-50,1.02,20,SVC,2005-03-04,0,-0.08012820512820518
PETR4-50,1.02,20,RNA,2005-03-07,1,-0.06862745098039214
PETR4-50,1.02,20,Random Forest,2005-03-07,1,-0.06862745098039214
PETR4-50,1.02,20,SVC,2005-03-07,1,-0.06862745098039214
PETR4-50,1.02,20,RNA,2005-03-08,1,-0.08250825082508251
PETR4-50,1.02,20,Random Forest,2005-03-08,1,-0.08250825082508251
PETR4-50,1.02,20,SVC,2005-03-08,0,-0.08250825082508251
PETR4-50,1.02,20,RNA,2005-03-09,1,-0.03728813559322042
PETR4-50,1.02,20,Random Forest,2005-03-09,1,-0.03728813559322042
PETR4-50,1.02,20,SVC,2005-03-09,1,-0.03728813559322042
PETR4-50,1.02,20,RNA,2005-03-11,1,-0.01736111111111105
PETR4-50,1.02,20,Random Forest,2005-03-11,0,-0.01736111111111105
PETR4-50,1.02,20,SVC,2005-03-11,1,-0.01736111111111105
PETR4-50,1.02,20,RNA,2005-03-14,1,-0.017421602787456525
PETR4-50,1.02,20,Random Forest,2005-03-14,1,-0.017421602787456525
PETR4-50,1.02,20,SVC,2005-03-14,0,-0.017421602787456525
PETR4-50,1.02,20,RNA,2005-03-15,1,0.04744525547445244
PETR4-50,1.02,20,Random Forest,2005-03-15,0,0.04744525547445244
PETR4-50,1.02,20,SVC,2005-03-15,0,0.04744525547445244
PETR4-50,1.02,20,RNA,2005-03-16,0,-0.055749128919860724
PETR4-50,1.02,20,Random Forest,2005-03-16,0,-0.055749128919860724
PETR4-50,1.02,20,SVC,2005-03-16,0,-0.055749128919860724
PETR4-50,1.02,25,RNA,2005-03-07,1,-0.06862745098039214
PETR4-50,1.02,25,Random Forest,2005-03-07,1,-0.06862745098039214
PETR4-50,1.02,25,SVC,2005-03-07,1,-0.06862745098039214
PETR4-50,1.02,25,RNA,2005-03-08,1,-0.08250825082508251
PETR4-50,1.02,25,Random Forest,2005-03-08,1,-0.08250825082508251
PETR4-50,1.02,25,SVC,2005-03-08,1,-0.08250825082508251
PETR4-50,1.02,25,RNA,2005-03-09,1,-0.03728813559322042
PETR4-50,1.02,25,Random Forest,2005-03-09,0,-0.03728813559322042
PETR4-50,1.02,25,SVC,2005-03-09,1,-0.03728813559322042
PETR4-50,1.02,25,RNA,2005-03-11,0,-0.01736111111111105
PETR4-50,1.02,25,Random Forest,2005-03-11,0,-0.01736111111111105
PETR4-50,1.02,25,SVC,2005-03-11,0,-0.01736111111111105
PETR4-50,1.02,25,RNA,2005-03-14,1,-0.017421602787456525
PETR4-50,1.02,25,Random Forest,2005-03-14,1,-0.017421602787456525
PETR4-50,1.02,25,SVC,2005-03-14,0,-0.017421602787456525
PETR4-50,1.02,25,RNA,2005-03-15,1,0.04744525547445244
PETR4-50,1.02,25,Random Forest,2005-03-15,1,0.04744525547445244
PETR4-50,1.02,25,SVC,2005-03-15,1,0.04744525547445244
PETR4-50,1.02,25,RNA,2005-03-16,1,-0.055749128919860724
PETR4-50,1.02,25,Random Forest,2005-03-16,0,-0.055749128919860724
PETR4-50,1.02,25,SVC,2005-03-16,0,-0.055749128919860724
